,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Votes
261,I Know What You Did Last Summer,2021,45,"Drama, Horror, Mystery",5.3,"7,255"
262,The Craft: Legacy,2020,97,"Drama, Fantasy, Horror",4.4,"12,462"
263,Tumbbad,2018,104,"Drama, Fantasy, Horror",8.2,"42,216"
264,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,95,Comedy,6.6,"137,326"
265,The Report,I 2019,119,"Biography, Crime, Drama",7.2,"42,039"
266,Searching,III 2018,102,"Drama, Mystery, Thriller",7.6,"159,570"
267,Flack,2019,60,"Comedy, Drama",7.2,"5,426"
268,Young Guns II,1990,104,"Action, Western",6.5,"35,891"
269,The Exorcist,2016–2018,45,"Drama, Horror, Mystery",7.9,"28,259"
270,Master,I 2022,98,"Drama, Horror, Mystery",4.9,"4,050"
271,"Iosi, el espía arrepentido",2022,367,"Drama, History, Thriller",7.8,494
272,Tell Me Your Secrets,I 2021,45,"Crime, Drama, Mystery",7.3,"9,427"
273,Emerald City,2016–2017,60,"Adventure, Drama, Fantasy",7.1,"12,611"
274,The Upside,2017,126,"Comedy, Drama",7.0,"55,594"
275,Electric Dreams,2017–2018,60,"Drama, Sci-Fi",7.2,"16,285"
276,Battle: Los Angeles,2011,116,"Action, Adventure, Sci-Fi",5.7,"179,585"
277,Bastille Day,2016,92,"Action, Crime, Drama",6.3,"43,333"
278,The Map of Tiny Perfect Things,2021,98,"Comedy, Fantasy, Romance",6.8,"21,407"
279,Jai Bhim,2021,164,"Crime, Drama, Mystery",8.9,"190,244"
280,The Vietnam War,2017,990,"Documentary, History, War",9.1,"24,045"
281,The Lie,2018,97,"Drama, Thriller",5.8,"16,573"
282,Waiting for Anya,2020,109,"Drama, Thriller, War",6.0,"1,415"
283,The Tick,2016–2019,29,"Action, Adventure, Comedy",7.4,"18,016"
284,Prizefighter: The Life of Jem Belcher,,***,Biography,***,***
285,The 15:17 to Paris,2018,94,"Biography, Drama, Thriller",5.3,"32,883"
286,Driving Miss Daisy,1989,99,"Comedy, Drama, Romance",7.3,"108,698"
287,Ripper Street,2012–2016,59,"Crime, Drama, Mystery",8.1,"20,996"
288,El juego de las llaves,2019,30,"Drama, Romance",6.5,"1,818"
289,Red Oaks,2014–2017,30,"Comedy, Drama, Sport",7.9,"11,579"
290,Taken,2017–2018,41,"Action, Drama, Thriller",6.5,"10,747"
291,King of Thieves,2018,108,"Biography, Crime, Drama",5.5,"14,269"
292,Republic of Doyle,2010–2014,60,"Comedy, Crime, Drama",7.6,"4,049"
293,El Internado: Las Cumbres,2021,***,"Drama, Mystery, Thriller",6.5,"1,607"
294,All Dogs Go to Heaven,1989,84,"Animation, Adventure, Comedy",6.7,"41,370"
295,Transparent,2014–2019,30,"Comedy, Drama",7.7,"22,545"
296,As We See It,2022,35,"Comedy, Drama",8.1,"3,030"
297,Treadstone,2019,44,Action,6.9,"10,558"
298,Alpha,II 2018,96,"Action, Adventure, Drama",6.6,"61,758"
299,The Commuter,I 2018,104,"Action, Mystery, Thriller",6.3,"114,084"
300,The Hollow Crown,2012–2016,150,"Drama, History, War",8.2,"6,541"
301,SAS: Rogue Heroes,2022,***,"Thriller, War",***,***
302,Target Number One,2020,125,"Crime, Thriller",6.2,"4,836"
303,The Lake,2022,***,"Comedy, Drama",***,***
304,Bliss,I 2021,103,"Drama, Romance",5.3,"17,360"
305,Uncle Frank,2020,95,"Comedy, Drama",7.3,"19,872"
306,Cedar Rapids,2011,87,Comedy,6.3,"37,989"
307,Black Friday,III 2021,84,"Comedy, Horror",4.6,"5,094"
308,Staged,2020–2021,22,"Comedy, Drama",8.5,"6,381"
309,The Only Living Boy in New York,2017,89,Drama,6.3,"14,327"
310,Unsane,2018,98,"Drama, Horror, Mystery",6.4,"45,783"
311,Encounter,III 2021,108,"Drama, Sci-Fi, Thriller",5.8,"9,278"
312,The Aeronauts,2019,100,"Action, Adventure, Drama",6.6,"32,783"
313,McMafia,2018,60,"Crime, Drama, Thriller",7.6,"15,538"
314,Mozart in the Jungle,2014–2018,29,"Comedy, Drama, Music",8.1,"24,582"
315,Suite Française,2014,107,"Drama, Romance, Thriller",7.0,"26,188"
316,7500,2019,93,"Action, Drama, Thriller",6.3,"28,300"
317,Small Axe,2020,60,"Drama, History",7.8,"4,326"
318,The Looming Tower,2018,492,"Drama, History",8.0,"14,530"
319,Solos,2021,185,"Drama, Fantasy, Sci-Fi",5.9,"4,476"
320,The Vast of Night,2019,91,"Drama, Mystery, Sci-Fi",6.7,"38,111"
321,Jalsa,2022,126,"Drama, Thriller",6.6,"5,473"
322,The Path,2016–2018,60,Drama,7.2,"8,840"
323,Gully Boy,2019,154,"Drama, Music, Romance",7.9,"38,444"
324,The Wall,II 2017,88,"Action, Drama, Thriller",6.2,"26,851"
325,Geronimo: An American Legend,1993,115,"Drama, History, Western",6.5,"11,627"
326,Late Night,2019,102,"Comedy, Drama",6.5,"36,910"
327,NOS4A2,2019–2020,60,"Drama, Fantasy, Horror",6.6,"9,036"
328,"Don't Worry, He Won't Get Far on Foot",2018,114,"Biography, Comedy, Drama",6.8,"26,271"
329,A League of Their Own,2022,60,"Comedy, Drama, Family",***,***
330,Harlem,2021,30,Comedy,6.8,"3,148"
331,Zoe,I 2018,104,"Romance, Sci-Fi",6.0,"9,047"
332,The Interpreter,,***,"Action, Crime, Thriller",***,***
333,Sardar Udham,2021,164,"Biography, Crime, Drama",8.5,"39,698"
334,Heroes Reborn,2015–2016,60,"Drama, Fantasy, Sci-Fi",6.7,"27,923"
335,Colors of Love,2021,85,"Drama, Romance",5.6,"1,250"
336,One Night in Miami...,2020,114,Drama,7.1,"31,460"
337,Gehraiyaan,2022,148,"Drama, Romance",6.2,"41,786"
338,Everybody's Talking About Jamie,2021,115,"Biography, Comedy, Drama",6.3,"6,648"
339,Maanagaram,2017,137,"Action, Thriller",8.1,"5,735"
340,Rangasthalam,2018,170,"Action, Drama",8.2,"23,810"
341,Ri¢hie Ri¢h,1994,95,"Comedy, Family",5.4,"68,750"
342,Zindagi Na Milegi Dobara,2011,155,"Comedy, Drama, Musical",8.1,"76,307"
343,The Bletchley Circle,2012–2014,45,"Crime, Drama, Mystery",7.9,"12,445"
344,With Love,2021,60,"Comedy, Romance",7.1,"1,804"
345,Truth Seekers,2020,223,"Comedy, Drama, Fantasy",7.0,"12,786"
346,The Widow,I 2019,60,"Action, Drama, Mystery",6.8,"9,921"
347,Soulmates,II 2020,269,"Drama, Romance, Sci-Fi",6.1,"3,019"
348,Sharmaji Namkeen,2022,119,"Comedy, Drama, Family",7.8,"9,487"
349,Nocturne,II 2020,90,"Drama, Horror, Music",5.7,"8,672"
350,Chemical Hearts,2020,93,"Drama, Romance",6.2,"12,408"
